,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,TT,2022,32491,Semi-Auto,2000,Petrol,41.5,2,audi,29473637
1,A3,2022,37491,Semi-Auto,2000,Diesel,57.7,2,audi,29473643
2,A3,2022,39991,Semi-Auto,2656,Petrol,35.3,2,audi,30253532
3,A6,2022,36791,Semi-Auto,4000,Diesel,50.4,2,audi,29473639
4,A4,2023,33791,Semi-Auto,4500,Petrol,44.8,2,audi,29509359
5,A3,2022,24241,Manual,5000,Petrol,51.4,1,audi,29473610
6,A3,2022,29241,Semi-Auto,6000,Diesel,61.4,2,audi,29608275
7,Q5,2021,38991,Semi-Auto,6059,Diesel,43.5,2,audi,30253533
8,A3,2022,23991,Manual,7800,Petrol,51.4,1,audi,29473607
9,Q5,2021,35491,Semi-Auto,7893,Diesel,44.8,2,audi,30310147
10,A3,2022,25491,Manual,8000,Petrol,48.7,1.5,audi,29473619
11,A5,2022,32491,Semi-Auto,8000,Diesel,58.9,2,audi,29473618
12,A3,2022,26941,Manual,8920,Petrol,50.4,1,audi,30403910
13,A3,2022,23891,Manual,9000,Petrol,51.4,1,audi,29473635
14,A3,2022,27241,Manual,10000,Petrol,50.4,1,audi,29473616
15,A3,2021,23991,Semi-Auto,11860,Petrol,53.3,1,audi,29795432
16,A5,2022,32241,Semi-Auto,12500,Diesel,57.7,2,audi,29473600
17,A7,2021,36791,Semi-Auto,12885,Diesel,47.1,2,audi,30035215
18,TT,2019,26991,Automatic,12939,Petrol,38.7,2,audi,30315156
19,A1,2021,19791,Manual,13737,Petrol,49.6,1,audi,30186484
20,Q2,2021,23991,Manual,13799,Petrol,47.9,1.5,audi,30424344
21,A5,2021,30491,Semi-Auto,14500,Diesel,57.7,2,audi,29473634
22,Q5,2022,45991,Semi-Auto,14877,Diesel,42.8,2,audi,30253536
23,A3,2022,38991,Semi-Auto,15531,Petrol,35.3,2,audi,30253531
24,Q5,2021,36341,Semi-Auto,15614,Diesel,44.8,2,audi,29769145
25,A5,2022,31491,Semi-Auto,15680,Diesel,57.7,2,audi,29473629
26,Q5,2021,34991,Semi-Auto,15708,Diesel,44.8,2,audi,30216603
27,A5,2021,33491,Semi-Auto,16000,Diesel,52.3,2,audi,29473596
28,A1,2020,18991,Semi-Auto,16706,Petrol,44.8,1,audi,30424348
29,A7,2019,34991,Semi-Auto,17236,Petrol,33.6,2,audi,30170583
30,A4,2020,23991,Semi-Auto,17393,Petrol,41.5,2,audi,30351421
31,A4,2021,27491,Semi-Auto,18292,Petrol,44.8,2,audi,30419248
32,Q3,2019,25741,Manual,18610,Petrol,42.2,1.5,audi,29866742
33,A3,2020,23141,Manual,18726,Petrol,47.1,1.5,audi,30098019
34,TT,2020,28241,Semi-Auto,18788,Petrol,40.9,2,audi,29877877
35,A1,2020,20241,Manual,18827,Petrol,47.9,1,audi,30223939
36,A5,2022,32991,Semi-Auto,19000,Diesel,55.4,2,audi,29473625
37,Q5,2021,37491,Semi-Auto,19170,Diesel,43.5,2,audi,30035214
38,A5,2020,25491,Semi-Auto,19894,Diesel,47.1,2,audi,30111097
39,Q3,2020,30491,Semi-Auto,20680,Diesel,47.1,2,audi,30186480
40,A3,2020,22991,Manual,20966,Petrol,43.5,1.5,audi,30351419
41,Q2,2020,22191,Manual,21000,Petrol,43.5,1.5,audi,30424347
42,A3,2020,21491,Manual,21911,Petrol,47.1,1,audi,30017548
43,TT,2022,32491,Semi-Auto,22155,Petrol,36.7,2,audi,30424345
44,A4,2019,21491,Manual,22500,Petrol,39.2,2,audi,30357819
45,Q3,2020,29741,Semi-Auto,22570,Petrol,32.5,2,audi,30351418
46,A5,2020,27991,Semi-Auto,22707,Diesel,51.4,2,audi,30357822
47,TT,2019,25991,Semi-Auto,23207,Petrol,40.4,2,audi,30004846
48,Q5,2021,33991,Semi-Auto,23580,Diesel,44.8,2,audi,30315154
49,A4,2020,28491,Semi-Auto,24248,Diesel,50.4,2,audi,30011350
50,TT,2020,33491,Semi-Auto,25097,Petrol,35.3,2,audi,30357820
51,A3,2021,28491,Semi-Auto,25775,Diesel,57.7,2,audi,30292505
52,Q3,2019,22991,Manual,28326,Petrol,40.9,1.5,audi,30310146
53,Q2,2019,17491,Manual,30614,Petrol,47.1,1,audi,30292500
54,Q2,2019,18241,Manual,33944,Diesel,49.6,1.6,audi,30305658
55,A3,2020,17791,Manual,35200,Petrol,44.8,1.5,audi,30011351
56,Q3,2018,23491,Semi-Auto,36000,Petrol,40.4,2,audi,30357818
57,TT,2019,24991,Semi-Auto,36047,Petrol,40.9,2,audi,30121486
58,Q5,2020,28741,Semi-Auto,37897,Diesel,39.2,2,audi,30186479
59,A3,2020,29991,Semi-Auto,44799,Petrol,35.3,2,audi,30424346
60,A6,2019,21251,Semi-Auto,63297,Diesel,50.4,2,audi,30419246
61,Q3,2020,28741,Semi-Auto,19974,Petrol,32.5,2,audi,30449800
62,Q2,2020,17395,Manual,22497,Petrol,47.1,1,audi,30391216
63,A1,2019,24500,SEMI-AUTO,4505,Petrol,47.1,1.0,audi,29717609
64,A1,2021,21500,Manual,13185,Petrol,50.4,1.0,audi,30301387
65,A6,2019,26999,SEMI-AUTO,40167,Diesel,47.9,2.0,audi,29395415
66,A1,2017,14538,Manual,55817,Petrol,70.6,1.4,audi,30426893
67,Q3,2021,28432,Automatic,23546,Petrol,43.5,1.5,audi,30431854
68,A4,2018,17596,Manual,30697,Petrol,50.4,1.4,audi,30101211
69,A1,2014,10199,Manual,40597,Petrol,52.3,1.4,audi,29838290
70,A1,2019,15999,Automatic,45765,Petrol,48.7,1.0,audi,30047571
71,A1,2016,11299,Automatic,64267,Diesel,74.3,1.6,audi,30269644
72,A1,2012,7799,Manual,74773,Petrol,52.3,1.4,audi,30369079
73,A3,2014,8299,Manual,81139,Diesel,74.3,1.6,audi,30297091
74,A3,2015,10857,Manual,50319,Diesel,74.3,1.6,audi,30409242
75,A6,2019,28828,Automatic,38506,Diesel,47.9,2.0,audi,30380570
76,A1,2016,13299,Manual,33480,Petrol,55.4,1.39,audi,30291533
77,A3,2015,13499,Semi-Auto,36322,Diesel,72.4,1.6,audi,30426508
78,A1,2015,11799,Manual,51362,Petrol,55.4,1.39,audi,30085280
79,A1,2016,10399,Manual,52629,Petrol,57.6,1.39,audi,30415831
80,A1,2016,11599,Manual,69556,Petrol,58.9,1.39,audi,30222645
81,A6,2016,15999,Automatic,71138,Diesel,56.5,2,audi,30402782
82,TT,2014,9699,Manual,80454,Petrol,44.1,1.8,audi,30418455
83,A4,2015,11499,Manual,81440,Diesel,67.3,2,audi,29957756
84,A3,2015,13499,Semi-Auto,36322,Diesel,72.4,1.6,audi,30426508
85,TT,2016,15499,Manual,67239,Petrol,46.3,2,audi,30402783
86,RS3,2022,57999,Semi-Auto,4600,Petrol,31.4,2.5,audi,28675225
87,TT,2018,22999,Semi-Auto,31000,Petrol,47.9,1.8,audi,27753366
88,R8,2012,49999,Semi-Auto,61000,Petrol,20.3,5.2,audi,30309616
89,A5,2014,11999,Manual,77000,Diesel,60.1,2,audi,30286252
90,Q3,2015,13499,Semi-Auto,81000,Diesel,55.4,2,audi,30309617
91,S3,2018,17999,Semi-Auto,107000,Petrol,43.5,2,audi,30185328
92,A4,2015,9495,Manual,81323,Diesel,67.3,2.0,audi,29763987
93,A3,2017,16500,Semi-Auto,36300,Petrol,50.4,2,audi,30252038
94,Q5,2020,31750,Semi-Auto,38942,Diesel,38.2,2,audi,30392005
95,A3,2016,19250,Semi-Auto,51609,Petrol,44.1,2,audi,29846389
96,TT,2017,18995,Semi-Auto,53500,Petrol,42.8,2,audi,30059164
97,A1,2011,5495,Manual,86000,Diesel,70.6,1.6,audi,30370857
98,A1,2014,8995,Manual,54000,Diesel,74.3,1.6,audi,30316375
99,A3,2016,21995,Automatic,46500,Petrol,44.1,2.0,audi,29448540
100,A3,2015,29995,Automatic,54000,Petrol,None,2.5,audi,30135318
101,A3,2012,10491,Automatic,29600,Petrol,37.7,2.0,audi,29690059
102,Q5,2014,17491,Automatic,47000,Diesel,47.1,2.0,audi,30232134
103,TT,2016,17495,Manual,37835,Petrol,46.3,1.8,audi,30001157
104,A7,2014,20995,Automatic,55000,Diesel,44.8,3.0,audi,30354022
105,A1,2017,12495,Manual,55427,Petrol,55.4,1.4,audi,30324248
106,A1,2014,11495,Manual,65000,Petrol,53.3,1.4,audi,30324259
107,Q3,2015,15495,Manual,70200,Diesel,55.4,2.0,audi,30196237
108,A1,2014,11495,Automatic,77380,Petrol,53.3,1.4,audi,30167468
109,A4,2014,15995,Automatic,43000,Diesel,47.1,2.0,audi,30123459
110,TT,2011,12495,Manual,71000,Petrol,35.8,2.0,audi,30266715
111,A1,2012,13799,Automatic,70000,Petrol,None,1.4,audi,27035251
112,TT,2008,9000,Manual,74000,Diesel,None,2.0,audi,27035280
113,A3,2005,4000,Manual,83000,Petrol,35.3,1.6,audi,27035236
114,A3,2007,3500,Manual,113000,Diesel,53.3,1.9,audi,27035254
115,A3,2010,7500,Manual,122000,Diesel,64.2,2.0,audi,27035225
116,A3,2012,6500,Manual,132000,Diesel,68.9,1.6,audi,27035278
117,A4,2002,2500,Manual,146000,Diesel,60.1,1.9,audi,27035276
118,A4,2002,1499,Manual,193000,Diesel,49.6,1.9,audi,27035314
119,A1,2016,15499,Manual,4432,Petrol,58.9,1.4,audi,30132351
120,Q2,2020,25049,Automatic,8574,Petrol,46.3,1.5,audi,30312174
121,A5,2020,25799,Manual,9831,Petrol,37.7,2.0,audi,30272351
122,A1,2017,13349,Manual,10060,Petrol,67.3,1.0,audi,30360600
123,A4,2020,25549,Manual,11598,Petrol,39.2,2.0,audi,30373367
124,A4,2020,27499,Semi-Auto,12280,Petrol,39.2,2.0,audi,30373351
125,Q2,2017,20049,Manual,12396,Petrol,50.4,1.4,audi,30354455
126,A1,2020,21849,Semi-Auto,12457,Petrol,44.8,1.5,audi,30417317
127,A5,2017,18799,Manual,13327,Diesel,65.7,2.0,audi,29916043
128,Q2,2019,18349,Manual,13493,Diesel,49.6,1.6,audi,30188219
129,A1,2020,21049,Semi-Auto,13978,Petrol,44.8,1.5,audi,30079667
130,Q2,2019,18449,Manual,14075,Diesel,49.6,1.6,audi,30251057
131,Q2,2021,22899,Manual,14201,Petrol,47.9,1.5,audi,30308054
132,A4,2020,27449,Semi-Auto,14706,Diesel,50.4,2.0,audi,30161794
133,A4,2020,23149,Semi-Auto,15013,Petrol,42.2,2.0,audi,30360650
134,Q3,2020,29049,Semi-Auto,15307,Diesel,47.1,2.0,audi,30384445
135,A4,2020,25549,Manual,15332,Petrol,39.2,2.0,audi,30389343
136,A5,2019,26449,Semi-Auto,15481,Diesel,47.1,2.0,audi,30201042
137,TT,2018,23049,Manual,16120,Petrol,46.3,2.0,audi,30354478
138,Q2,2019,20299,Manual,16130,Diesel,47.9,1.6,audi,30348726
139,A3,2016,18299,Semi-Auto,16332,Petrol,57.6,1.4,audi,30103614
140,A1,2019,17749,Semi-Auto,16417,Petrol,48.7,1.0,audi,30367103
141,Q2,2020,22599,Semi-Auto,16420,Petrol,43.5,1.5,audi,30312162
142,A5,2017,18549,Semi-Auto,16916,Diesel,70.6,2.0,audi,30155551
143,Q2,2019,25049,Semi-Auto,16997,Diesel,46.3,2.0,audi,30389357
144,Q2,2019,18049,Manual,17188,Diesel,49.6,1.6,audi,30281213
145,A3,2020,25549,Semi-Auto,17347,Petrol,47.9,1.5,audi,30367131
146,A3,2018,16849,Manual,17404,Petrol,47.1,1.0,audi,29888080
147,A3,2021,23549,Semi-Auto,17428,Petrol,53.3,1.0,audi,30389389
148,A3,2018,20849,Semi-Auto,17658,Petrol,44.1,1.0,audi,30354550
149,A3,2019,21049,Manual,17787,Petrol,42.8,1.5,audi,30360583
150,A3,2019,19049,Semi-Auto,17881,Diesel,52.3,1.6,audi,30348752
151,A1,2017,12549,Manual,17889,Petrol,None,1.0,audi,30208671
152,A1,2019,16049,Manual,18264,Petrol,51.4,1.0,audi,29916035
153,Q3,2019,29799,Semi-Auto,18488,Petrol,31.4,2.0,audi,30225428
154,A1,2020,17949,Manual,19225,Petrol,49.6,1.0,audi,30325287
155,A3,2017,21199,Semi-Auto,19450,Petrol,47.9,2.0,audi,30312224
156,Q3,2020,24599,Manual,19495,Petrol,42.2,1.5,audi,30161889
157,Q3,2016,19699,Manual,19532,Diesel,51.4,2.0,audi,30255943
158,A3,2017,19549,Semi-Auto,19581,Petrol,56.5,1.5,audi,30046091
159,Q2,2019,18299,Manual,19811,Diesel,49.6,1.6,audi,30255934
160,Q2,2021,21199,Manual,20179,Petrol,48.7,1.0,audi,30075060
161,A1,2018,16249,Semi-Auto,20898,Petrol,55.4,1.4,audi,29974700
162,A3,2019,19299,Manual,20994,Petrol,46.3,1.0,audi,30050201
163,Q2,2019,18349,Manual,21634,Diesel,49.6,1.6,audi,30407515
164,A1,2017,17049,Semi-Auto,21639,Petrol,56.5,1.4,audi,30167971
165,A3,2019,21349,Semi-Auto,22907,Petrol,44.1,1.0,audi,30424960
166,A4,2019,20299,Manual,22927,Petrol,42.2,2.0,audi,30392959
167,A1,2020,18699,Manual,23099,Petrol,47.9,1.0,audi,30063605
168,A6,2019,25199,Semi-Auto,23233,Diesel,50.4,2.0,audi,30255917
169,A4,2018,17349,Manual,23287,Petrol,52.3,1.4,audi,30103628
170,A3,2019,17599,Manual,23720,Petrol,47.9,1.0,audi,30317352
171,TT,2020,26049,Semi-Auto,23727,Petrol,40.9,2.0,audi,30401168
172,A4,2019,24349,Manual,23762,Petrol,38.2,2.0,audi,30295009
173,A5,2019,24899,Semi-Auto,24037,Petrol,37.7,2.0,audi,30161789
174,Q2,2019,18849,Manual,24215,Petrol,47.1,1.0,audi,30389344
175,A1,2018,12549,Manual,24456,Petrol,67.3,1.0,audi,30079725
176,A4,2020,24049,Manual,24795,Petrol,39.2,2.0,audi,30429250
177,A1,2017,15749,Manual,25204,Petrol,58.9,1.4,audi,30348858
178,A5,2019,22399,Semi-Auto,25397,Petrol,39.8,2.0,audi,30417048
179,A3,2017,14849,Manual,25420,Diesel,67.3,2.0,audi,30417305
180,A1,2018,14299,Manual,25435,Petrol,67.3,1.0,audi,30384511
181,Q2,2019,18149,Manual,25702,Diesel,49.6,1.6,audi,30407524
182,A5,2018,18349,Semi-Auto,25973,Petrol,53.3,1.4,audi,30107860
183,A3,2018,20649,Semi-Auto,26351,Petrol,56.5,1.5,audi,30307975
184,A1,2016,12849,Manual,26491,Petrol,55.4,1.4,audi,30337904
185,A5,2019,23699,Manual,26502,Petrol,37.7,2.0,audi,30148646
186,A3,2018,15899,Manual,26661,Petrol,43.5,1.5,audi,30181558
187,A3,2017,14549,Manual,26739,Diesel,70.6,1.6,audi,30417377
188,A7,2018,33049,Semi-Auto,26802,Diesel,38.2,3.0,audi,30348878
189,Q3,2019,23149,Manual,26899,Petrol,40.9,1.5,audi,30392966
190,A4,2019,18999,Manual,27008,Petrol,39.2,2.0,audi,30025501
191,A1,2019,16049,Manual,27034,Petrol,52.3,1.0,audi,30325281
192,A1,2018,14949,Manual,27099,Petrol,None,1.4,audi,30208532
193,A4,2019,18049,Manual,27114,Petrol,40.4,2.0,audi,30132541
194,Other,2017,22049,Semi-Auto,27645,Petrol,41.5,2.0,audi,29950309
195,Q3,2019,24949,Manual,27654,Diesel,42.8,2.0,audi,30407545
196,Q5,2020,30299,Semi-Auto,27688,Diesel,38.2,2.0,audi,30373309
197,Q2,2019,17849,Manual,27808,Diesel,49.6,1.6,audi,30308121
198,A3,2018,24749,Semi-Auto,27829,Petrol,45.6,2.0,audi,30290025
199,A3,2019,17199,Manual,27856,Diesel,51.4,1.6,audi,29950229
200,A5,2017,19699,Semi-Auto,27912,Diesel,65.7,2.0,audi,30025485
201,A3,2017,15599,Semi-Auto,28226,Diesel,72.4,1.6,audi,30201112
202,A3,2019,18199,Manual,28472,Petrol,46.3,1.0,audi,30042484
203,A1,2017,15749,Semi-Auto,28519,Petrol,58.9,1.4,audi,30123784
204,A3,2019,20549,Semi-Auto,28552,Petrol,42.2,1.5,audi,30392945
205,Q2,2019,18349,Manual,29022,Diesel,49.6,1.6,audi,30401220
206,Q2,2017,17349,Manual,29371,Diesel,61.4,1.6,audi,30250939
207,Q2,2017,16999,Manual,29438,Diesel,61.4,1.6,audi,30079701
208,A3,2020,16549,Manual,29554,Diesel,54.3,1.6,audi,30148661
209,S3,2017,23049,Manual,29851,Petrol,40.4,2.0,audi,30384458
210,Q2,2017,20299,Semi-Auto,28711,Petrol,52.3,1.4,audi,30281127
211,Q2,2019,18349,Manual,29022,Diesel,49.6,1.6,audi,30401220
212,Q2,2017,17349,Manual,29371,Diesel,61.4,1.6,audi,30250939
213,Q2,2017,16999,Manual,29438,Diesel,61.4,1.6,audi,30079701
214,A3,2020,16549,Manual,29554,Diesel,54.3,1.6,audi,30148661
215,S3,2017,23049,Manual,29851,Petrol,40.4,2.0,audi,30384458
216,A1,2019,15999,Manual,29865,Petrol,51.4,1.0,audi,30113603
217,A4,2018,19549,Manual,29901,Petrol,51.4,1.4,audi,30240270
218,Q2,2019,18299,Manual,30520,Diesel,49.6,1.6,audi,30289983
219,A3,2019,17149,Manual,30720,Diesel,52.3,1.6,audi,30417222
220,A4,2021,25549,Semi-Auto,31164,Petrol,40.9,2.0,audi,30123815
221,A5,2019,22799,Semi-Auto,31397,Diesel,50.4,2.0,audi,29915994
222,Q2,2019,17049,Manual,31650,Petrol,47.1,1.0,audi,30095433
223,A6,2019,23549,Semi-Auto,31891,Diesel,50.4,2.0,audi,29993380
224,Q3,2017,16549,Manual,32182,Petrol,51.4,1.4,audi,30148666
225,Q5,2019,27049,Semi-Auto,32217,Diesel,39.2,2.0,audi,30354534
226,A3,2018,14649,Manual,32326,Petrol,60.1,1.0,audi,30225419
227,A3,2019,15749,Manual,32515,Diesel,54.3,1.6,audi,30251259
228,A1,2019,15799,Manual,32540,Petrol,52.3,1.0,audi,30312266
229,A3,2019,19049,Manual,32601,Diesel,51.4,1.6,audi,30421767
230,A6,2019,23549,Semi-Auto,31891,Diesel,50.4,2.0,audi,29993380
231,Q3,2017,16549,Manual,32182,Petrol,51.4,1.4,audi,30148666
232,Q5,2019,27049,Semi-Auto,32217,Diesel,39.2,2.0,audi,30354534
233,A3,2018,14649,Manual,32326,Petrol,60.1,1.0,audi,30225419
234,A3,2019,15749,Manual,32515,Diesel,54.3,1.6,audi,30251259
235,A1,2019,15799,Manual,32540,Petrol,52.3,1.0,audi,30312266
236,A3,2019,19049,Manual,32601,Diesel,51.4,1.6,audi,30421767
237,A3,2018,19599,Manual,32648,Petrol,42.2,1.5,audi,30251263
238,A1,2018,15049,Manual,32778,Petrol,55.4,1.4,audi,30360557
239,Q3,2019,26549,Semi-Auto,33040,Petrol,38.2,1.5,audi,30367104
240,Q3,2019,23049,Manual,34237,Petrol,42.2,1.5,audi,30290028
241,A3,2019,19299,Manual,34366,Petrol,42.2,1.5,audi,30084534
242,A3,2018,18049,Semi-Auto,34928,Diesel,52.3,1.6,audi,30075350
243,Q3,2018,17349,Manual,35154,Diesel,62.8,2.0,audi,30290031
244,A3,2019,18699,Manual,36183,Diesel,51.4,1.6,audi,30090207
245,Q3,2018,22549,Semi-Auto,36205,Petrol,45.6,1.4,audi,30417289
246,Q2,2018,20899,Semi-Auto,36335,Petrol,40.9,1.5,audi,30250980
247,A7,2019,31549,Semi-Auto,36525,Diesel,None,3.0,audi,30208623
248,A5,2016,16749,Semi-Auto,36787,Diesel,56.5,2.0,audi,30251123
249,Q3,2019,24049,Semi-Auto,36848,Diesel,48.7,2.0,audi,30429278
250,Q3,2018,17349,Manual,35154,Diesel,62.8,2.0,audi,30290031
251,A3,2019,18699,Manual,36183,Diesel,51.4,1.6,audi,30090207
252,Q3,2018,22549,Semi-Auto,36205,Petrol,45.6,1.4,audi,30417289
253,Q2,2018,20899,Semi-Auto,36335,Petrol,40.9,1.5,audi,30250980
254,A7,2019,31549,Semi-Auto,36525,Diesel,None,3.0,audi,30208623
255,A5,2016,16749,Semi-Auto,36787,Diesel,56.5,2.0,audi,30251123
256,Q3,2019,24049,Semi-Auto,36848,Diesel,48.7,2.0,audi,30429278
257,Q3,2019,23549,Manual,36960,Petrol,39.8,1.5,audi,30417282
258,A4,2017,21049,Semi-Auto,37423,Diesel,65.7,2.0,audi,30417167
259,A6,2019,22599,Semi-Auto,37547,Diesel,50.4,2.0,audi,30132206
260,Q3,2016,16049,Manual,39263,Diesel,60.1,2.0,audi,30196732
261,A1,2018,12949,Manual,39560,Petrol,67.3,1.0,audi,30407581
262,A4,2016,13049,Manual,39774,Petrol,53.3,1.4,audi,30251183
263,A1,2018,13149,Manual,40155,Petrol,67.3,1.0,audi,30308199
264,A4,2018,22049,Semi-Auto,40175,Diesel,47.9,2.0,audi,30284920
265,Q2,2019,16749,Manual,40366,Diesel,49.6,1.6,audi,30384628
266,A3,2019,14049,Manual,40487,Petrol,48.7,1.0,audi,30079786
267,A3,2019,17699,Manual,40587,Petrol,47.1,1.0,audi,30155458
268,A3,2018,13799,Manual,40948,Diesel,49.6,1.6,audi,30090285
269,Q3,2018,18649,Manual,41075,Petrol,49.6,1.4,audi,30373273
270,A1,2018,12949,Manual,39560,Petrol,67.3,1.0,audi,30407581
271,A4,2016,13049,Manual,39774,Petrol,53.3,1.4,audi,30251183
272,A1,2018,13149,Manual,40155,Petrol,67.3,1.0,audi,30308199
273,A4,2018,22049,Semi-Auto,40175,Diesel,47.9,2.0,audi,30284920
274,Q2,2019,16749,Manual,40366,Diesel,49.6,1.6,audi,30384628
275,A3,2019,14049,Manual,40487,Petrol,48.7,1.0,audi,30079786
276,A3,2019,17699,Manual,40587,Petrol,47.1,1.0,audi,30155458
277,A3,2018,13799,Manual,40948,Diesel,49.6,1.6,audi,30090285
278,Q3,2018,18649,Manual,41075,Petrol,49.6,1.4,audi,30373273
279,A1,2017,11699,Manual,41134,Diesel,76.3,1.6,audi,30354483
280,A3,2020,15599,Manual,41215,Petrol,49.6,1.0,audi,30308174
281,A5,2017,18549,Semi-Auto,41356,Diesel,67.3,2.0,audi,30178753
282,Q2,2019,19899,Semi-Auto,41390,Petrol,42.8,1.5,audi,30308273
283,A4,2019,22849,Semi-Auto,41585,Petrol,38.2,2.0,audi,30389384
284,A3,2017,14349,Manual,41663,Petrol,55.4,1.5,audi,30417191
285,Q3,2017,18849,Semi-Auto,41759,Petrol,47.9,1.4,audi,30373281
286,A3,2017,13699,Manual,41934,Diesel,67.3,2.0,audi,30219191
287,A3,2019,20299,Semi-Auto,42023,Diesel,53.3,1.6,audi,30308314
288,A3,2018,18199,Semi-Auto,42106,Petrol,42.2,1.5,audi,30168012
289,A1,2016,13699,Manual,42200,Petrol,58.9,1.4,audi,30348904
290,A3,2018,14249,Manual,43922,Diesel,65.7,2.0,audi,30161898
291,A1,2017,14299,Manual,43926,Diesel,None,1.6,audi,30208494
292,A5,2017,21049,Semi-Auto,44057,Diesel,70.6,2.0,audi,30348687
293,A1,2018,13499,Manual,44174,Petrol,56.5,1.4,audi,30424898
294,Q2,2017,20899,Semi-Auto,44255,Diesel,58.9,2.0,audi,30178825
295,Q2,2020,20549,Semi-Auto,44746,Diesel,47.9,2.0,audi,30429162
296,A3,2017,16549,Manual,44801,Petrol,54.3,1.5,audi,30325234
297,A1,2018,14399,Semi-Auto,45066,Petrol,57.7,1.4,audi,30417032
298,A3,2019,18549,Manual,45406,Petrol,42.2,1.5,audi,30201104
299,A1,2018,11799,Manual,45733,Petrol,None,1.0,audi,30208668
300,A3,2018,14249,Manual,43922,Diesel,65.7,2.0,audi,30161898
301,A1,2017,14299,Manual,43926,Diesel,None,1.6,audi,30208494
302,A5,2017,21049,Semi-Auto,44057,Diesel,70.6,2.0,audi,30348687
303,A1,2018,13499,Manual,44174,Petrol,56.5,1.4,audi,30424898
304,Q2,2017,20899,Semi-Auto,44255,Diesel,58.9,2.0,audi,30178825
305,Q2,2020,20549,Semi-Auto,44746,Diesel,47.9,2.0,audi,30429162
306,A3,2017,16549,Manual,44801,Petrol,54.3,1.5,audi,30325234
307,A1,2018,14399,Semi-Auto,45066,Petrol,57.7,1.4,audi,30417032
308,A3,2019,18549,Manual,45406,Petrol,42.2,1.5,audi,30201104
309,A1,2018,11799,Manual,45733,Petrol,None,1.0,audi,30208668
310,A5,2017,18949,Semi-Auto,45913,Diesel,62.8,2.0,audi,29974659
311,A3,2019,13549,Manual,45933,Diesel,49.6,1.6,audi,30015317
312,TT,2017,15749,Manual,45962,Petrol,46.3,2.0,audi,29986777
313,A3,2018,16799,Manual,46201,Diesel,51.4,1.6,audi,30317337
314,A3,2018,14049,Manual,46441,Diesel,70.6,1.6,audi,30360560
315,A3,2017,14849,Manual,47017,Diesel,68.9,1.6,audi,30281170
316,A3,2018,14349,Manual,47162,Diesel,49.6,1.6,audi,30392960
317,A4,2019,23549,Semi-Auto,47417,Diesel,49.6,2.0,audi,30367048
318,A3,2019,13699,Manual,47489,Diesel,49.6,1.6,audi,30132403
319,A3,2019,16349,Automatic,47518,Diesel,52.3,1.6,audi,30188176
320,A3,2018,14849,Manual,49801,Diesel,51.4,1.6,audi,30255903
321,A3,2018,14049,Manual,49831,Diesel,70.6,1.6,audi,30401198
322,A3,2016,18799,Semi-Auto,50034,Diesel,58.9,2.0,audi,30424919
323,TT,2019,22049,Semi-Auto,50129,Petrol,40.9,2.0,audi,30429219
324,A3,2019,14399,Manual,50409,Diesel,49.6,1.6,audi,30251186
325,A4,2019,17299,Semi-Auto,50758,Diesel,50.4,2.0,audi,30042517
326,Q3,2017,20049,Manual,50793,Diesel,50.4,2.0,audi,30392965
327,A3,2018,18699,Semi-Auto,50892,Diesel,62.8,2.0,audi,30240292
328,A5,2017,20849,Semi-Auto,51703,Diesel,62.8,2.0,audi,30290064
329,A3,2018,17649,Manual,51739,Petrol,54.3,1.5,audi,30384450
330,Q5,2018,23749,Semi-Auto,52068,Diesel,56.5,2.0,audi,30188177
331,A4,2018,20499,Semi-Auto,52072,Diesel,None,2.0,audi,30208725
332,Q3,2016,16049,Manual,52098,Petrol,49.6,1.4,audi,30348592
333,A1,2017,14049,Manual,52341,Petrol,70.6,1.4,audi,30178564
334,Q3,2017,17349,Manual,52369,Petrol,49.6,1.4,audi,30417264
335,A3,2019,14549,Manual,52458,Diesel,49.6,1.6,audi,30367142
336,Q5,2016,17999,Semi-Auto,52626,Diesel,47.1,2.0,audi,30025588
337,TT,2016,14649,Manual,52815,Diesel,62.8,2.0,audi,30178435
338,A6,2018,19049,Semi-Auto,52853,Diesel,57.6,2.0,audi,30424890
339,A4,2019,22049,Semi-Auto,52862,Diesel,47.1,2.0,audi,30373332
340,Q2,2017,14849,Manual,52935,Diesel,64.2,1.6,audi,30284870
341,A4,2017,15099,Manual,52964,Diesel,72.4,2.0,audi,30417313
342,A1,2017,12649,Manual,53102,Petrol,56.5,1.4,audi,30401234
343,A3,2018,16849,Manual,53108,Petrol,42.2,1.5,audi,30075274
344,TT,2016,15449,Manual,53131,Petrol,47.1,1.8,audi,30132551
345,A3,2019,18849,Semi-Auto,53613,Petrol,42.2,1.5,audi,30425007
346,A3,2017,12799,Manual,53769,Diesel,68.9,1.6,audi,30075285
347,A1,2018,13699,Manual,53922,Petrol,46.3,1.0,audi,30079758
348,A3,2020,17849,Manual,54048,Diesel,55.4,2.0,audi,30294971
349,A1,2017,13799,Semi-Auto,54208,Petrol,70.6,1.4,audi,30015263
350,A3,2016,14299,Manual,54570,Diesel,68.9,1.6,audi,30255998
351,A3,2018,15049,Semi-Auto,55061,Diesel,70.6,1.6,audi,30281203
352,Q3,2019,21549,Manual,55185,Petrol,39.8,1.5,audi,30079730
